TICKET_ID,SUBMIT_DATE,SUBMIT_TIMESTAMP,CUSTOMER_ID,CUSTOMER_TIER,CHANNEL,PRIORITY,STATUS,PRODUCT_AREA,CLASSIFICATION,SENTIMENT,FIRST_RESPONSE_TIME_HOURS,RESOLUTION_TIME_HOURS,TICKET_SUBJECT,TICKET_DESCRIPTION,AGENT_NOTES
SP-2025-00001,2025-05-24,2025-05-24 23:42:12.399,CUS-86358,Basic,Chat,Low,Resolved,Snowflake Dashboard,Feature Request,Negative,18,111,Snow InsAIght Dashboard Filtering is Terrible - Need Better Options,"Hey support team, I'm getting really frustrated with the dashboard filtering in Snow InsAIght. The current setup is honestly pretty bad and I'm wasting way too much time trying to get basic filters to work properly.

Right now I can only set one filter at a time on my Snowflake dashboard widgets, which is ridiculous. I need to be able to apply multiple filters simultaneously - like filtering by date range AND product category AND region all at once. Currently I have to create separate dashboard views for every combination I need, which is a total pain.

The filter interface is also super clunky. When I try to select multiple values in a dropdown filter, it keeps resetting or not saving my selections properly. Half the time I click apply and nothing happens, or it only applies one of my filters and ignores the rest.

I've been looking at what Tableau and Power BI offer and they have way better filtering capabilities. They let you create filter hierarchies, save filter presets, and even have smart filters that suggest relevant options based on your data. Snow InsAIght feels really behind the curve here.

My workaround right now is exporting data to Excel and doing the filtering there, but that defeats the whole purpose of having a cloud BI platform. I'm paying for Snow InsAIght to make my life easier, not harder.

Can you please add proper multi-level filtering, filter presets, and fix the buggy filter interface? This is basic functionality that should have been included from day one. My team is starting to question whether we should stick with Snow InsAIght if these fundamental features don't get addressed soon.",Initial triage completed.
SP-2025-00002,2025-04-21,2025-04-21 18:23:12.399,CUS-86384,Enterprise,Email,Low,In Progress,Avalanche API,Technical,Positive,14,113,Avalanche API Integration Issue with Summit Data Export - Error BLIZZARD-503,"Dear Snow InsAIght Support Team,

I hope this message finds you well. First, I want to express our continued satisfaction with the Snow InsAIght platform - it has been instrumental in transforming our data analytics capabilities over the past two years.

We are currently experiencing a technical issue with our Avalanche API integration when attempting to utilize the Summit Data Export functionality. Our enterprise application has been successfully leveraging this REST API endpoint for automated data extraction processes, but we began encountering error code BLIZZARD-503 starting yesterday around 2:30 PM EST.

The specific error occurs when we attempt to export large datasets (approximately 2.5M records) through our scheduled batch processes. Smaller exports (under 500K records) continue to function perfectly. The error message indicates a service unavailability, but our monitoring shows consistent API response times for other endpoints.

Steps we have already attempted:
1. Verified our API authentication tokens are current and valid
2. Tested the same export parameters through your web interface (successful)
3. Reduced batch sizes and implemented retry logic with exponential backoff
4. Confirmed our rate limiting compliance (well within our enterprise tier limits)
5. Checked our firewall logs for any blocked requests

Our technical team has reviewed the API documentation and believes this may be related to a recent platform update, as we haven't modified our integration code recently. The timing coincides with your announced infrastructure improvements, which we greatly appreciate.

Could you please investigate this BLIZZARD-503 error for our account? We have several critical reporting deadlines approaching and would appreciate your typically excellent support in resolving this matter.

Thank you for your continued partnership and outstanding service.

Best regards,
Michael Chen
Senior Data Engineering Manager
Global Analytics Solutions Inc.
mchen@globalanalytics.com
(555) 123-4567",Requested additional system logs. Enterprise customer - prioritized handling.
SP-2025-00003,2025-03-21,2025-03-21 19:56:12.399,CUS-58841,Pro,Email,Medium,New,Snowflake Dashboard,Billing,Neutral,6,37,Billing Discrepancy on Snow InsAIght Pro Subscription Invoice SP-INV-7429,"Dear Snow InsAIght Support Team,

I hope this email finds you well. I am writing to inquire about a billing discrepancy I noticed on our recent invoice SP-INV-7429 for our Pro subscription.

Our account currently has 12 active users accessing the Snowflake Dashboard, but the invoice shows charges for 15 user licenses for the billing period of November 2024. I have reviewed our user management settings within the platform, and I can confirm that we deactivated 3 user accounts on October 28th, 2024, which should have taken effect before the current billing cycle.

The invoiced amount shows $2,847 for 15 Pro licenses at $189.80 per user per month, but based on our actual usage of 12 active users, the correct amount should be $2,277.60. This represents an overcharge of $569.40 for the three inactive user licenses.

I have verified through our Snowflake Dashboard admin panel that these three users (sarah.mitchell@ourcompany.com, james.rodriguez@ourcompany.com, and alex.thompson@ourcompany.com) have had their access revoked and are showing as 'Inactive' status since late October.

Could you please review our account billing and provide clarification on this discrepancy? If this is indeed an error, I would appreciate guidance on how to process a credit adjustment for the overcharged amount.

I have attached screenshots of our current user management dashboard showing the 12 active licenses for your reference.

Thank you for your time and assistance. I look forward to your prompt response.

Best regards,
Michael Chen
IT Operations Manager
DataFlow Solutions Inc.
michael.chen@dataflowsolutions.com
(555) 234-7891",Verified account details and billing history.
SP-2025-00004,2025-05-03,2025-05-03 20:05:12.399,CUS-49032,Pro,Phone,High,Closed,Peak Notification Center,Technical,Negative,2,12,Peak Notification Center completely broken - PEAK-TIMEOUT errors blocking critical alerts,"[Phone call transcription] Look, I'm really frustrated here and need this fixed immediately. Our Peak Notification Center has been completely useless for the past three days - we're getting constant PEAK-TIMEOUT errors every time we try to access any of our critical billing alerts. This is absolutely unacceptable for a Pro tier customer. We rely on these notifications to monitor our Iceberg Billing System overages, and right now we're flying blind on our cloud spend. I've tried everything on my end - cleared the cache on my Android device, logged out and back in multiple times, even tried accessing it from different networks. Nothing works. The error just keeps popping up whenever I try to load the notification dashboard or set up new alert rules. My team is getting hammered because we can't see when our data processing costs are spiking, and we've already blown through two budget thresholds this week without any warnings. This is costing us real money. I've been using Snow InsAIght for over two years and never had issues this severe. The whole point of having Peak Notifications is to stay on top of our analytics workloads, but your system is completely failing us right now. I need someone to escalate this immediately and get our notification center working again. We're talking about potential thousands in unexpected charges if we can't monitor our Iceberg billing properly.",Escalated to L2 support. Requested additional system logs.
SP-2025-00005,2025-06-14,2025-06-14 02:35:12.399,CUS-54298,Enterprise,Chat,High,New,Glacier Reports,Bug Report,Negative,1,23,Critical Bug: Glacier Reports Failing with STORM-RATE-LIMIT Error in Powder Analytics,"This is absolutely unacceptable. Our entire quarterly reporting pipeline is down because of a critical bug in Glacier Reports. We're an Enterprise customer paying premium rates and this kind of failure is costing us thousands in delayed deliverables.

Here's what's happening: When we try to generate our standard quarterly compliance reports through Glacier Reports using the Powder Analytics Engine, the system keeps throwing STORM-RATE-LIMIT errors and completely fails to process our datasets.

Steps to reproduce:
1. Log into Snow InsAIght platform as Enterprise admin
2. Navigate to Glacier Reports dashboard
3. Select 'Create New Report' and choose our Q4 compliance template
4. Configure data source to pull from our main warehouse (contains ~2.5M records)
5. Set Powder Analytics Engine as processing engine
6. Click 'Generate Report'
7. System immediately throws STORM-RATE-LIMIT error code and stops processing

Expected behavior: The report should process normally like it has for the past 8 months. Our Enterprise tier should have sufficient rate limits for this standard operation.

Actual behavior: Complete failure with STORM-RATE-LIMIT error. No report generated, no partial data, nothing.

This worked perfectly fine last week. Nothing has changed on our end. We've tried different datasets, different templates, even smaller data samples - same error every time. The Powder Analytics Engine seems to be the common factor here.

We have a board presentation tomorrow morning and need these reports ASAP. This is mission-critical and frankly, we're questioning our investment in Snow InsAIght if basic functionality like this can just break without warning.",Escalated to L2 support. Enterprise customer - prioritized handling.
SP-2025-00006,2025-05-06,2025-05-06 20:11:12.399,CUS-97728,Pro,Phone,High,New,Snowflake Dashboard,Technical,Negative,2,92,Snow InsAIght Snowflake Dashboard completely down - SNOW-500 errors blocking critical reports,"Look, I've been on hold for 45 minutes and I'm absolutely fed up with this situation. Our entire Snowflake Dashboard has been completely inaccessible since around 2 PM EST today, and this is costing us serious money. Every time we try to access any of our critical quarterly reports, we're getting hit with SNOW-500 internal server errors across the board. This isn't just affecting one user - our entire analytics team of 12 people is locked out. We tried accessing through Chrome, Firefox, and Edge on both Windows 10 and macOS, same error every time. The SSO authentication seems to work fine initially, but the moment we try to load any dashboard or run any queries, boom - SNOW-500 error and the whole thing crashes. We've cleared browser caches, tried incognito mode, even attempted to access through our backup network connection thinking it might be on our end. Nothing works. What's really frustrating is that we can see in Drift User Management that all our licenses are active and users are showing as properly authenticated, but nobody can actually DO anything. We have a board presentation tomorrow morning at 8 AM that depends entirely on the revenue analytics dashboard we built in Snow InsAIght, and right now we can't even see if our data pipelines are running. I'm hearing from other companies in our industry that they're experiencing the same issues, so this is clearly a widespread outage on your end. We're paying premium Pro-tier pricing specifically to avoid situations like this, and frankly, this level of service disruption is completely unacceptable. I need immediate escalation to your technical team and a realistic timeline for resolution, not just generic troubleshooting steps.",Escalated to L2 support. Requested additional system logs.
SP-2025-00007,2025-04-17,2025-04-17 22:05:12.399,CUS-27173,Enterprise,Chat,Critical,Closed,Snowflake Dashboard,Technical,Neutral,1,10,DRIFT-PERMISSION error blocking Snowflake Dashboard access in Blizzard Admin Panel,"Hi there! I'm running into an issue with our Snowflake Dashboard that's got me a bit stuck. When I try to access certain dashboard views through the Blizzard Admin Panel, I keep getting hit with a ""DRIFT-PERMISSION"" error code. This started happening yesterday around 2 PM EST and it's affecting multiple users on our team.

I'm using Edge browser (latest version) on Windows 11. The error specifically pops up when we try to view or edit any dashboards that were created before last week. New dashboards seem to work fine, which is weird.

So far I've tried:
- Clearing browser cache and cookies
- Logging out and back in
- Checking user permissions in the Blizzard Admin Panel (everything looks normal there)
- Tried accessing from Chrome too, same issue
- Verified our enterprise license is active and up to date

The error message just says ""DRIFT-PERMISSION: Access denied due to permission drift"" but doesn't give much detail beyond that. Our team lead has the same admin rights as me and she's seeing the same thing.

Is this a known issue? We've got some important quarterly reports due this week and really need to get back into those older dashboards. Any guidance would be appreciated!",Escalated to L2 support. Requested additional system logs. Enterprise customer - prioritized handling.
SP-2025-00008,2025-05-27,2025-05-27 20:32:12.399,CUS-53967,Basic,Email,Low,In Progress,Iceberg Billing System,Billing,Negative,33,180,URGENT: Incorrect charges on Snow InsAIght Iceberg billing - Invoice SP-INV-4782,"Dear Snow InsAIght Support Team,

I am writing to express my serious concern and frustration regarding incorrect billing charges that have appeared on my recent invoice SP-INV-4782 dated November 15th, 2024.

I have been charged $847.50 for what appears to be premium Iceberg analytics features that I never requested or activated. My Basic tier subscription should only include standard data visualization tools and up to 5 user accounts, yet I'm seeing line items for ""Advanced Predictive Analytics Module"" ($312.00) and ""Enterprise Data Lake Integration"" ($535.50) on this invoice.

This is completely unacceptable. I specifically chose the Basic plan to keep costs manageable for my small business, and these unauthorized charges represent nearly triple my expected monthly fee of $299. I have reviewed my account dashboard multiple times and cannot find any record of upgrading these services or any notification that additional charges would be applied.

My payment method on file is my business credit card ending in 4829, and this erroneous charge has already been processed, causing significant strain on my cash flow. I need this resolved immediately and expect a full refund of the $548.50 in unauthorized charges within 48 hours.

I have been a loyal Snow InsAIght customer for over 18 months and have always paid my invoices on time. This billing error is damaging my trust in your platform and forcing me to consider alternative solutions if not resolved promptly.

I demand immediate action on this matter and expect a detailed explanation of how these charges appeared on my account.

Regards,
Michael Chen
Chen Analytics Solutions
Account ID: SA-78432
Phone: (555) 234-7891",Verified account details and billing history.
SP-2025-00009,2025-05-01,2025-05-01 19:43:12.399,CUS-75143,Pro,Web Form,Medium,In Progress,Crystal Integration Hub,Bug Report,Negative,5,115,Critical Bug: Crystal Integration Hub Failing with FREEZE-INVALID-REQ Error,"I'm extremely frustrated with a critical bug that's completely breaking our Crystal Integration Hub workflows and causing major disruptions to our business operations. This is absolutely unacceptable for a Pro-tier customer.

The issue occurs when attempting to sync data through the Crystal Integration Hub with our Tundra Security Module enabled. Every single sync attempt is failing with error code FREEZE-INVALID-REQ, and this has been happening for the past 3 days straight.

Here are the exact reproduction steps:
1. Navigate to Crystal Integration Hub dashboard in Snow InsAIght
2. Select any existing data source connector (we've tested with Salesforce, PostgreSQL, and our custom API)
3. Click 'Initiate Sync' with Tundra Security Module active
4. The sync starts normally and shows 'Processing...' status
5. After approximately 30-45 seconds, the sync fails with error FREEZE-INVALID-REQ
6. The error log shows 'Security validation timeout' but provides no actionable details

Expected behavior: The sync should complete successfully with Tundra Security Module performing its standard validation checks, just like it has for the past 8 months we've been using this platform.

Actual behavior: Every sync fails immediately with this cryptic error code, and our data pipelines are completely broken. We've tried disabling and re-enabling Tundra Security Module, clearing cache, and even recreating connectors from scratch - nothing works.

This is severely impacting our daily reporting and client deliverables. We need this resolved immediately or we'll have to consider alternative platforms. For what we're paying for Pro-tier service, this level of system instability is completely unacceptable.",Initial triage completed.
SP-2025-00010,2025-06-02,2025-06-02 05:59:12.399,CUS-48500,Enterprise,Web Form,Low,In Progress,Summit Data Export,Technical,Positive,6,120,Summit Data Export Enhancement Request - SNOW-500 Error Resolution Needed,"Hello Snow InsAIght Support Team,

First, I want to express our appreciation for the excellent service and robust functionality that Snow InsAIght continues to provide our organization. The platform has been instrumental in streamlining our data analytics workflows, and your support team has consistently delivered quick resolutions to our previous inquiries.

I'm reaching out regarding an issue we've encountered with the Summit Data Export feature while using Safari (Version 16.2) on macOS Ventura. When attempting to export large datasets (approximately 2.3M records) from our quarterly sales analytics dashboard, we're receiving error code SNOW-500 during the final processing stage.

Steps we've already attempted:
1. Cleared browser cache and cookies
2. Tried the export with smaller data subsets (successful up to ~1.8M records)
3. Verified export permissions through the Blizzard Admin Panel
4. Attempted the same export using Chrome (same error occurs)
5. Checked our enterprise account limits - we're well within our allocated export quotas

The error appears consistently at approximately 85% completion during the 'Finalizing Export Package' phase. Our team relies heavily on these comprehensive quarterly exports for executive reporting, and we're hoping to resolve this before our upcoming board presentation.

Given your team's track record of swift problem resolution, I'm confident we can get this sorted quickly. Would it be possible to either increase the processing timeout for large exports or provide guidance on optimizing our export parameters?

Thank you for your continued excellent support.

Best regards,
Sarah Chen
Senior Data Analytics Manager",Requested additional system logs. Enterprise customer - prioritized handling.
